t_sec,cmd_vx,cmd_wz,meas_speed_tf
25.850,0.000,0.000,0.000
25.901,0.000,0.000,0.184
25.950,0.000,0.000,0.000
26.002,0.000,0.000,0.079
26.050,0.000,0.000,0.000
26.133,0.000,0.000,0.012
26.150,0.000,0.000,0.000
26.200,0.000,0.000,0.228
26.250,0.000,0.000,0.000
26.300,0.000,0.000,0.099
26.350,0.000,0.000,0.000
26.402,0.000,0.000,0.155
26.450,0.000,0.000,0.000
26.500,0.000,0.000,0.052
26.551,0.000,0.000,0.000
26.600,0.000,0.000,0.159
26.650,0.000,0.000,0.000
26.700,0.000,0.000,0.051
26.750,0.000,0.000,0.000
26.800,0.000,0.000,0.124
26.850,0.000,0.000,0.000
26.902,0.000,0.000,0.146
26.950,0.000,0.000,0.000
27.000,0.000,0.000,0.154
27.050,0.000,0.000,0.000
27.100,0.000,0.000,0.092
27.150,0.000,0.000,0.000
27.200,0.000,0.000,0.098
27.250,0.000,0.000,0.000
27.300,0.000,0.000,0.096
27.350,0.000,0.000,0.000
27.400,0.000,0.000,0.041
27.450,0.000,0.000,0.000
27.500,0.000,0.000,0.097
27.550,0.000,0.000,0.000
27.600,0.000,0.000,0.063
27.650,0.000,0.000,0.000
27.700,0.000,0.000,0.020
27.750,0.000,0.000,0.000
27.800,0.000,0.000,0.094
27.850,0.000,0.000,0.000
27.900,0.000,0.000,0.103
27.950,0.000,0.000,0.000
28.000,0.000,0.000,0.016
28.050,0.000,0.000,0.000
28.102,0.000,0.000,0.096
28.150,0.000,0.000,0.000
28.200,0.000,0.000,0.096
28.250,0.000,0.000,0.000
28.300,0.000,0.000,0.138
28.350,0.000,0.000,0.000
28.400,0.000,0.000,0.042
28.450,0.000,0.000,0.000
28.500,0.000,0.000,0.108
28.550,0.000,0.000,0.000
28.600,0.000,0.000,0.332
28.650,0.000,0.000,0.000
28.700,0.000,0.000,0.141
28.750,0.000,0.000,0.000
28.800,0.000,0.000,0.066
28.850,0.000,0.000,0.000
28.902,0.000,0.000,0.129
28.950,0.000,0.000,0.000
29.002,0.000,0.000,0.087
29.049,0.000,0.000,0.000
29.103,0.000,0.000,0.048
29.149,0.000,0.000,0.000
29.200,0.000,0.000,0.070
29.250,0.000,0.000,0.000
29.302,0.000,0.000,0.066
29.349,0.000,0.000,0.000
29.400,0.000,0.000,0.048
29.449,0.000,0.000,0.000
29.500,0.000,0.000,0.202
29.550,0.000,0.000,0.000
29.600,0.000,0.000,0.163
29.651,0.000,0.000,0.000
29.700,0.000,0.000,0.127
29.749,0.000,0.000,0.000
29.800,0.000,0.000,0.229
29.850,0.000,0.000,0.000
29.900,0.000,0.000,0.166
29.950,0.000,0.000,0.000
30.000,0.000,0.000,0.018
30.050,0.000,0.000,0.000
30.100,0.000,0.000,0.055
30.150,0.000,0.000,0.000
30.200,0.000,0.000,0.093
30.250,0.000,0.000,0.000
30.300,0.000,0.000,0.053
30.350,0.000,0.000,0.000
30.400,0.000,0.000,0.048
30.450,0.000,0.000,0.000
30.500,0.000,0.000,0.036
30.552,0.000,0.000,0.000
30.614,0.000,0.000,0.079
30.650,0.000,0.000,0.000
30.700,0.000,0.000,0.066
30.749,0.000,0.000,0.000
30.800,0.000,0.000,0.131
30.850,0.000,0.000,0.000
30.900,0.000,0.000,0.086
30.950,0.000,0.000,0.000
31.000,0.000,0.000,0.035
31.050,0.000,0.000,0.000
31.100,0.000,0.000,0.136
31.150,0.000,0.000,0.000
31.200,0.000,0.000,0.092
31.250,0.000,0.000,0.000
31.300,0.000,0.000,0.092
31.350,0.000,0.000,0.000
31.400,0.000,0.000,0.115
31.450,0.000,0.000,0.000
31.500,0.000,0.000,0.175
31.550,0.000,0.000,0.000
31.600,0.000,0.000,0.015
31.650,0.000,0.000,0.000
31.699,0.000,0.000,0.257
31.749,0.000,0.000,0.000
31.800,0.000,0.000,0.198
31.850,0.000,0.000,0.000
31.903,0.000,0.000,0.144
31.950,0.000,0.000,0.000
32.000,0.000,0.000,0.089
32.049,0.000,0.000,0.000
32.100,0.000,0.000,0.143
32.149,0.000,0.000,0.000
32.200,0.000,0.000,0.087
32.250,0.000,0.000,0.000
32.299,0.000,0.000,0.047
32.349,0.000,0.000,0.000
32.399,0.000,0.000,0.038
32.449,0.000,0.000,0.000
32.500,0.000,0.000,0.075
32.549,0.000,0.000,0.000
32.599,0.000,0.000,0.056
32.650,0.000,0.000,0.000
32.700,0.000,0.000,0.031
32.750,0.000,0.000,0.000
32.800,0.000,0.000,0.059
32.850,0.000,0.000,0.000
32.900,0.000,0.000,0.019
32.950,0.000,0.000,0.000
33.000,0.000,0.000,0.220
33.050,0.000,0.000,0.000
33.100,0.000,0.000,0.146
33.150,0.000,0.000,0.000
33.200,0.000,0.000,0.259
33.250,0.000,0.000,0.000
33.300,0.000,0.000,0.138
33.350,0.000,0.000,0.000
33.400,0.000,0.000,0.049
33.450,0.000,0.000,0.000
33.500,0.000,0.000,0.102
33.550,0.000,0.000,0.000
33.600,0.000,0.000,0.190
33.650,0.000,0.000,0.000
33.700,0.000,0.000,0.047
33.750,0.000,0.000,0.000
33.800,0.000,0.000,0.161
33.850,0.000,0.000,0.000
33.900,0.000,0.000,0.067
33.950,0.000,0.000,0.000
34.000,0.000,0.000,0.077
34.050,0.000,0.000,0.000
34.100,0.000,0.000,0.149
34.150,0.000,0.000,0.000
34.203,0.000,0.000,0.102
34.250,0.000,0.000,0.000
34.306,0.000,0.000,0.038
34.350,0.000,0.000,0.000
34.400,0.000,0.000,0.126
34.450,0.000,0.000,0.000
34.500,0.000,0.000,0.085
34.550,0.000,0.000,0.000
34.603,0.000,0.000,0.074
34.650,0.000,0.000,0.000
34.704,0.000,0.000,0.067
34.750,0.000,0.000,0.034
34.801,0.000,0.000,0.053
34.850,0.000,0.000,0.000
34.900,0.000,0.000,0.086
34.950,0.000,0.000,0.000
35.000,0.000,0.000,0.134
35.050,0.000,0.000,0.000
35.100,0.000,0.000,0.248
35.150,0.000,0.000,0.000
35.200,0.000,0.000,0.175
35.250,0.000,0.000,0.000
35.299,0.000,0.000,0.051
35.350,0.000,0.000,0.000
35.400,0.000,0.000,0.026
35.449,0.000,0.000,0.000
35.500,0.000,0.000,0.112
35.549,0.000,0.000,0.000
35.600,0.000,0.000,0.044
35.650,0.000,0.000,0.000
35.700,0.000,0.000,0.076
35.750,0.000,0.000,0.000
35.800,0.000,0.000,0.094
35.849,0.000,0.000,0.000
35.900,0.000,0.000,0.071
35.949,0.000,0.000,0.000
36.000,0.000,0.000,0.072
36.049,0.000,0.000,0.000
36.099,0.000,0.000,0.030
36.150,0.000,0.000,0.000
36.200,0.000,0.000,0.077
36.250,0.000,0.000,0.000
36.300,0.000,0.000,0.138
36.350,0.000,0.000,0.000
36.399,0.000,0.000,0.233
36.449,0.000,0.000,0.000
36.499,0.000,0.000,0.102
36.550,0.000,0.000,0.000
36.600,0.000,0.000,0.158
36.650,0.000,0.000,0.000
36.700,0.000,0.000,0.161
36.750,0.000,0.000,0.000
36.800,0.000,0.000,0.130
36.850,0.000,0.000,0.000
36.900,0.000,0.000,0.180
36.950,0.000,0.000,0.000
37.000,0.000,0.000,0.302
37.050,0.000,0.000,0.000
37.100,0.000,0.000,0.122
37.150,0.000,0.000,0.000
37.200,0.000,0.000,0.177
37.250,0.000,0.000,0.000
37.300,0.000,0.000,0.118
37.349,0.000,0.000,0.000
37.400,0.000,0.000,0.101
37.450,0.000,0.000,0.000
37.500,0.000,0.000,0.119
37.549,0.000,0.000,0.000
37.600,0.000,0.000,0.022
37.650,0.000,0.000,0.000
37.700,0.000,0.000,0.120
37.750,0.000,0.000,0.000
37.800,0.000,0.000,0.052
37.850,0.000,0.000,0.000
37.900,0.000,0.000,0.064
37.950,0.000,0.000,0.000
38.002,0.000,0.000,0.088
38.050,0.000,0.000,0.041
38.100,0.000,0.000,0.047
38.150,0.000,0.000,0.000
38.199,0.000,0.000,0.019
38.250,0.000,0.000,0.000
38.300,0.000,0.000,0.137
38.350,0.000,0.000,0.000
38.400,0.000,0.000,0.097
38.450,0.000,0.000,0.000
38.499,0.000,0.000,0.086
38.550,0.000,0.000,0.000
38.599,0.000,0.000,0.076
38.649,0.000,0.000,0.000
38.700,0.000,0.000,0.048
38.750,0.000,0.000,0.000
38.800,0.000,0.000,0.053
38.850,0.000,0.000,0.000
38.900,0.000,0.000,0.117
38.950,0.000,0.000,0.000
39.000,0.000,0.000,0.076
39.049,0.000,0.000,0.000
39.100,0.000,0.000,0.049
39.149,0.000,0.000,0.000
39.199,0.000,0.000,0.103
39.250,0.000,0.000,0.000
39.299,0.000,0.000,0.092
39.350,0.000,0.000,0.000
39.400,0.000,0.000,0.166
39.449,0.000,0.000,0.000
39.500,0.000,0.000,0.070
39.550,0.000,0.000,0.000
39.599,0.000,0.000,0.238
39.649,0.000,0.000,0.000
39.699,0.000,0.000,0.138
39.750,0.000,0.000,0.000
39.799,0.000,0.000,0.042
39.850,0.000,0.000,0.000
39.899,0.000,0.000,0.031
